Metabolite,Fragment,Huh7_Hypoxia_R_1,Huh7_Hypoxia_R_2,Huh7_Hypoxia_R_3,Huh7_Normoxia_R_1,Huh7_Normoxia_R_2,Huh7_Normoxia_R_3
pyr_c,Abundance,2316028,1987728,1608778,1870643,2015937,2182646
,pyr174(M0),9.77E-01,9.72E-01,9.67E-01,9.62E-01,9.70E-01,9.51E-01
,pyr175(M1),5.92E-03,8.83E-03,8.33E-03,9.70E-03,5.04E-03,1.32E-02
,pyr176(M2),4.68E-03,6.37E-03,6.71E-03,6.00E-03,3.81E-03,7.84E-03
,pyr177(M3),1.07E-02,1.09E-02,1.49E-02,2.13E-02,2.15E-02,2.56E-02
,pyr178(M4),1.81E-03,2.18E-03,2.65E-03,1.09E-03,1.02E-03,2.26E-03
,pyr179(M5),-4.48E-04,-6.56E-04,-3.28E-04,-3.91E-04,-9.96E-04,-2.24E-04
,pyr180(M6),2.98E-06,-6.67E-05,4.04E-04,-5.95E-05,-1.56E-05,-3.54E-05
lac__D_c,Abundance,45495501,60851809,49887024,30172250,27490517,29236219
,lac233(M0),9.73E-01,9.68E-01,9.71E-01,9.69E-01,9.70E-01,9.72E-01
,lac234(M1),1.41E-02,1.72E-02,1.54E-02,1.40E-02,1.27E-02,1.22E-02
,lac235(M2),1.34E-02,1.56E-02,1.47E-02,1.73E-02,1.78E-02,1.64E-02
,lac236(M3),-8.25E-04,-1.13E-03,-1.06E-03,-7.97E-04,-5.89E-04,-6.13E-04
,lac237(M4),8.74E-05,-9.90E-05,-1.02E-04,7.45E-05,6.28E-05,1.46E-05
,lac238(M5),3.58E-05,1.12E-04,1.19E-04,1.90E-04,6.50E-05,1.13E-04
,lac239(M6),-1.95E-05,-6.21E-06,6.34E-06,-2.43E-05,-1.26E-05,-2.78E-05
,lac240(M7),1.52E-04,1.39E-04,1.35E-04,5.21E-05,2.97E-05,1.92E-04
lac__D_c,Abundance,69631159,90803476,75465215,46320966,42370299,44926160
,lac261(M0),9.54E-01,9.47E-01,9.51E-01,9.57E-01,9.59E-01,9.59E-01
,lac262(M1),2.91E-02,3.47E-02,3.12E-02,2.25E-02,1.94E-02,2.11E-02
,lac263(M2),1.16E-02,1.37E-02,1.34E-02,8.96E-03,8.97E-03,8.27E-03
,lac264(M3),4.81E-03,4.69E-03,4.27E-03,1.19E-02,1.29E-02,1.17E-02
,lac265(M4),2.84E-05,-6.69E-05,-2.88E-05,-1.90E-04,-1.24E-04,-1.08E-05
,lac266(M5),1.19E-04,1.32E-04,1.08E-04,7.29E-05,1.08E-04,7.55E-05
,lac267(M6),6.46E-05,5.76E-05,1.36E-05,2.19E-04,1.66E-06,3.85E-05
,lac268(M7),-1.15E-05,-1.15E-05,-5.14E-06,-1.29E-06,8.50E-06,-9.72E-06
,lac269(M8),-5.89E-06,-5.28E-06,-1.21E-06,-2.03E-05,-4.72E-06,-4.72E-06
ala__L_c,Abundance,15824512,22202746,18037038,17393230,15230704,17386262
,ala232(M0),9.77E-01,9.73E-01,9.76E-01,9.56E-01,9.55E-01,9.57E-01
,ala233(M1),9.08E-03,1.14E-02,8.94E-03,1.57E-02,1.56E-02,1.40E-02
,ala234(M2),1.47E-02,1.63E-02,1.55E-02,2.84E-02,2.86E-02,2.88E-02
,ala235(M3),-5.18E-04,-4.02E-04,-4.98E-04,-5.73E-04,-4.62E-04,-5.72E-04
,ala236(M4),5.98E-05,-1.11E-04,3.41E-05,1.57E-04,6.89E-06,9.07E-05
,ala237(M5),3.93E-05,4.09E-05,3.21E-05,-6.82E-06,9.26E-05,1.11E-04
,ala238(M6),-4.43E-05,1.76E-04,1.70E-04,6.36E-05,7.60E-04,1.46E-04
,ala239(M7),1.31E-06,-5.77E-06,-3.06E-05,4.72E-05,-1.05E-05,8.54E-06
ala__L_c,Abundance,15390662,21184452,17512315,16721459,14724637,16856475
,ala260(M0),9.82E-01,9.77E-01,9.79E-01,9.60E-01,9.61E-01,9.59E-01
,ala261(M1),2.87E-03,7.41E-03,4.75E-03,9.26E-03,6.33E-03,8.76E-03
,ala262(M2),6.65E-03,7.38E-03,7.31E-03,7.64E-03,8.54E-03,8.26E-03
,ala263(M3),8.79E-03,8.51E-03,8.51E-03,2.32E-02,2.42E-02,2.36E-02
,ala264(M4),5.18E-05,9.62E-05,-8.69E-05,-9.38E-05,-1.52E-04,9.97E-05
,ala265(M5),-1.69E-04,1.08E-06,6.23E-05,-7.21E-05,4.54E-05,-6.47E-05
,ala266(M6),5.63E-05,4.21E-05,5.44E-05,8.35E-05,3.53E-05,3.42E-05
,ala267(M7),-1.59E-05,-2.75E-05,-3.27E-05,-2.62E-05,-3.70E-05,-5.14E-05
,ala268(M8),-1.24E-06,-9.22E-07,8.14E-06,4.55E-06,1.96E-05,1.93E-05
gly_c,Abundance,24335072,36142342,27450973,31001124,27935658,32237382
,gly218(M0),9.89E-01,9.80E-01,9.86E-01,9.83E-01,9.86E-01,9.83E-01
,gly219(M1),8.94E-03,1.64E-02,1.11E-02,1.45E-02,1.12E-02,1.35E-02
,gly220(M2),3.04E-03,5.08E-03,3.46E-03,3.42E-03,3.99E-03,4.60E-03
,gly221(M3),-5.80E-04,-1.19E-03,-8.02E-04,-8.43E-04,-1.01E-03,-9.29E-04
,gly222(M4),-9.76E-05,-1.70E-04,-1.18E-04,-1.46E-04,-1.52E-04,-1.69E-04
,gly223(M5),1.11E-04,3.56E-05,5.13E-05,4.85E-05,3.08E-05,2.35E-05
gly_c,Abundance,22345452,32838863,25143349,28201910,25440979,29455232
,gly246(M0),9.90E-01,9.84E-01,9.88E-01,9.87E-01,9.87E-01,9.84E-01
,gly247(M1),8.01E-03,1.31E-02,9.77E-03,1.05E-02,1.04E-02,1.28E-02
,gly248(M2),2.44E-03,3.95E-03,2.85E-03,3.96E-03,3.39E-03,3.97E-03
,gly249(M3),-7.63E-04,-1.09E-03,-8.27E-04,-9.58E-04,-7.85E-04,-7.84E-04
,gly250(M4),6.74E-05,-2.55E-05,-1.37E-06,-7.87E-05,2.27E-05,-4.22E-05
,gly251(M5),4.82E-05,1.03E-04,7.12E-05,2.56E-05,5.66E-05,1.80E-05
,gly252(M6),-2.74E-05,-2.93E-05,-2.70E-06,1.69E-05,1.11E-05,-3.25E-06
val__L_c,Abundance,10442089,14093221,12381744,10355409,8770406,11072880
,val260(M0),9.80E-01,9.76E-01,9.78E-01,9.80E-01,9.82E-01,9.80E-01
,val261(M1),1.96E-02,2.15E-02,2.04E-02,1.90E-02,1.61E-02,1.89E-02
,val262(M2),7.70E-07,1.70E-03,1.26E-03,5.49E-04,1.88E-05,1.38E-04
,val263(M3),-2.66E-04,-2.84E-04,-4.61E-04,-8.15E-04,-1.05E-04,7.64E-06
,val264(M4),3.40E-04,6.24E-06,1.06E-04,1.19E-04,2.50E-04,8.15E-05
,val265(M5),3.52E-04,6.56E-04,9.46E-04,7.95E-04,8.87E-04,1.05E-03
,val266(M6),4.94E-05,-2.65E-05,8.19E-05,1.39E-04,2.15E-04,1.85E-04
,val267(M7),3.09E-05,1.07E-04,5.05E-05,8.41E-05,1.73E-04,4.05E-05
,val268(M8),7.95E-05,2.39E-05,1.49E-05,3.43E-05,6.50E-05,6.60E-05
val__L_c,Abundance,9135917,12128277,10760177,8993247,7627393,9660856
,val288(M0),9.95E-01,9.93E-01,9.93E-01,9.91E-01,9.91E-01,9.91E-01
,val289(M1),2.64E-03,2.54E-03,5.92E-04,2.99E-03,3.20E-03,1.99E-03
