Metabolite,Formula,Fragment,Huh7_Hypoxia_R_1,Huh7_Hypoxia_R_2,Huh7_Hypoxia_R_3,Huh7_Normoxia_R_1,Huh7_Normoxia_R_2,Huh7_Normoxia_R_3
pyr_c,C6H12O3N1Si,pyr174(M0),1.93E+06,1.65E+06,1.33E+06,1.54E+06,1.67E+06,1.77E+06
,,pyr175(M1),2.50E+05,2.18E+05,1.75E+05,2.05E+05,2.14E+05,2.43E+05
,,pyr176(M2),9.88E+04,8.79E+04,7.12E+04,8.15E+04,8.37E+04,98413
,,pyr177(M3),29653,2.64E+04,2.70E+04,41985,4.48E+04,5.78E+04
,,pyr178(M4),6783,6.65E+03,6.58E+03,5967,6.15E+03,1.02E+04
,,pyr179(M5),3.42E+02,0,767,1.03E+03,0,2.07E+03
,,pyr180(M6),143,0,7.61E+02,0,0,182
lac__D_c,C10H25O2Si2,lac233(M0),3.35E+07,44550328,3.66E+07,2.21E+07,2.02E+07,2.15E+07
,,lac234(M1),7712288,1.04E+07,8.49E+06,5.09E+06,4616573,4.91E+06
,,lac235(M2),3623373,4.96E+06,4027261,2.49E+06,2.27E+06,2.39E+06
,,lac236(M3),540878,7.39E+05,5.97E+05,375749,346732,361572
,,lac237(M4),1.22E+05,1.61E+05,1.29E+05,8.82E+04,8.16E+04,8.28E+04
,,lac238(M5),12715,19352,1.59E+04,1.31E+04,9.63E+03,1.08E+04
,,lac239(M6),1041,1.99E+03,2.12E+03,1.34E+03,1080,8.06E+02
,,lac240(M7),5.72E+03,7316,5.92E+03,1.64E+03,8.14E+02,4.75E+03
lac__D_c,C11H25O3Si2,lac261(M0),4.96E+07,6.42E+07,5.35E+07,3.31E+07,3.03E+07,32144130
,,lac262(M1),1.28E+07,1.69E+07,1.39E+07,8.29E+06,7.50E+06,8011535
,,lac263(M2),5.69E+06,7.60E+06,6280874,3.65E+06,3.32E+06,3513081
,,lac264(M3),1.25E+06,1.68E+06,1.35E+06,1.04E+06,9.78E+05,996785
,,lac265(M4),2.59E+05,346961,282475,202592,192651,198850
,,lac266(M5),54495,72672,5.66E+04,5.40E+04,5.36E+04,5.26E+04
,,lac267(M6),1.08E+04,1.35E+04,8.13E+03,1.45E+04,6.71E+03,8065
,,lac268(M7),1.32E+03,1676,1.19E+03,2.50E+03,1627,1127
,,lac269(M8),0,0,7.33E+01,0,0,0
ala__L_c,C10H26O1N1Si2,ala232(M0),11670254,1.63E+07,13291015,1.26E+07,1.10E+07,1.26E+07
,,ala233(M1),2.67E+06,3.77E+06,3036105,2960877,2589578,2940195
,,ala234(M2),1.25E+06,1.79E+06,1436263,1.55E+06,1.36E+06,1554960
,,ala235(M3),1.89E+05,275108,217500,2.47E+05,2.18E+05,2.47E+05
,,ala236(M4),41511,58301,4.79E+04,63003,5.38E+04,62255
,,ala237(M5),4.55E+03,6.42E+03,5.15E+03,6.68E+03,6.87E+03,8.16E+03
,,ala238(M6),18,3.81E+03,3117,1.89E+03,10276,3250
,,ala239(M7),0,4.61E+02,0,871,1.44E+03,6.23E+02
ala__L_c,C11H26O2N1Si2,ala260(M0),11259067,15415848,12780573,1.20E+07,10543836,1.20E+07
,,ala261(M1),2.63E+06,3.67E+06,3.01E+06,2.87E+06,2.50E+06,2888447
,,ala262(M2),1148314,1600540,1317944,1.25E+06,1106662,1.27E+06
,,ala263(M3),285163,3.96E+05,3.24E+05,502070,4.53E+05,511905
,,ala264(M4),56798,7.98E+04,6.30E+04,9.81E+04,8.85E+04,1.03E+05
,,ala265(M5),1.10E+04,18010,15189,2.95E+04,2.82E+04,30767
,,ala266(M6),1967,3.02E+03,2.59E+03,4726,3.92E+03,4.41E+03
,,ala267(M7),0,0,0,4.00E+02,2.64E+02,0
,,ala268(M8),1.22E+01,0,135,141,2.52E+02,245
gly_c,C9H24O1N1Si2,gly218(M0),18370957,2.70E+07,2.07E+07,23270025,21032169,2.42E+07
,,gly219(M1),3.99E+06,6.08E+06,4.53E+06,5186310,4.61E+06,5.37E+06
,,gly220(M2),1.70E+06,2.60E+06,1.93E+06,2.19E+06,1.98E+06,2.30E+06
,,gly221(M3),232341,3.53E+05,2.62E+05,301143,2.65E+05,3.14E+05
,,gly222(M4),40125,6.10E+04,4.51E+04,5.08E+04,4.54E+04,54009
,,gly223(M5),4996,4.39E+03,4.01E+03,4402,3.25E+03,3.90E+03
gly_c,C10H24O2N1Si2,gly246(M0),1.67E+07,24349225,1.87E+07,2.10E+07,1.89E+07,2.18E+07
,,gly247(M1),3791725,5665536,4.29E+06,4.82E+06,4349598,5075471
,,gly248(M2),1.60E+06,2406895,1.82E+06,2.06E+06,1.85E+06,2.16E+06
,,gly249(M3),2.29E+05,345656,2.61E+05,2.96E+05,2.68E+05,3.17E+05
,,gly250(M4),4.32E+04,64143,4.81E+04,5.39E+04,5.03E+04,5.84E+04
,,gly251(M5),4.37E+03,7408,5.19E+03,4.55E+03,5258,5.17E+03
,,gly252(M6),0,0,4.70E+02,6.82E+02,7.82E+02,3.28E+02
val__L_c,C12H30ONSi2,val260(M0),7.55E+06,1.02E+07,8.94E+06,7.49E+06,6.36E+06,8009419
,,val261(M1),1.98E+06,2.68E+06,2348587,1957709,1642953,2.09E+06
,,val262(M2),752639,1034986,9.04E+05,7.50E+05,6.29E+05,797604
,,val263(M3),1.25E+05,1.73E+05,1.49E+05,1.20E+05,104028,1.34E+05
,,val264(M4),2.31E+04,2.93E+04,2.58E+04,20519,1.87E+04,2.27E+04
,,val265(M5),5.42E+03,10183,1.17E+04,8.27E+03,8135,11528
,,val266(M6),1.31E+03,1.28E+03,2.76E+03,2507,2.89E+03,3.54E+03
,,val267(M7),6.04E+02,1.76E+03,1417,1.44E+03,2.00E+03,1416
,,val268(M8),779,5.19E+02,3.91E+02,5.59E+02,8.46E+02,873
val__L_c,C13H30O2NSi2,val288(M0),6.62E+06,8.78E+06,7785536,6.49E+06,5.51E+06,6.98E+06
,,val289(M1),1.69E+06,2.24E+06,1974259,1.66E+06,1.41E+06,1.78E+06
,,val290(M2),6.62E+05,8.80E+05,7.86E+05,6.54E+05,5.50E+05,6.98E+05
,,val291(M3),110178,1.46E+05,1.31E+05,1.10E+05,9.06E+04,1.18E+05
,,val292(M4),2.00E+04,25651,2.32E+04,19072,16450,1.94E+04
,,val293(M5),23695,4.45E+04,48659,42541,39606,53876
,,val294(M6),5020,9534,9785,10030,8060,11012
,,val295(M7),1.48E+03,2.59E+03,1.63E+03,2.43E+03,1.03E+03,2.60E+03
,,val296(M8),0,2.37E+02,3.93E+01,1.30E+02,76,2.77E+02
nor,C12H30ONSi2,nor260(M0),1.43E+07,2.34E+07,1.61E+07,2.20E+07,1.81E+07,2.32E+07
,,nor261(M1),3.69E+06,6.15E+06,4.15E+06,5754832,4.68E+06,6.08E+06
,,nor262(M2),1.43E+06,2415564,1.61E+06,2246261,1825769,2.38E+06
,,nor263(M3),4.22E+05,5.91E+05,4.64E+05,5.37E+05,4.33E+05,5.91E+05
,,nor264(M4),8.81E+04,1.15E+05,9.89E+04,1.05E+05,8.52E+04,1.18E+05
,,nor265(M5),39615,42909,4.60E+04,3.92E+04,32855,4.52E+04
,,nor266(M6),8.26E+03,7390,1.12E+04,5985,7.50E+03,9.54E+03
,,nor267(M7),5605,6.13E+03,1.10E+04,5.08E+03,8.86E+03,6.59E+03
,,nor268(M8),812,9.85E+02,2.49E+03,2.76E+03,1.76E+02,1.09E+03
nor,C13H30O2NSi2,nor288(M0),1.18E+07,18910445,1.29E+07,1.75E+07,1.43E+07,1.82E+07
,,nor289(M1),3.03E+06,4.98E+06,3.34E+06,4.55E+06,3.71E+06,4.78E+06
,,nor290(M2),1.20E+06,1976556,1.32E+06,1.80E+06,1.47E+06,1.89E+06
,,nor291(M3),197857,328043,2.18E+05,3.00E+05,2.42E+05,3.18E+05
,,nor292(M4),3.46E+04,57496,37483,51010,41615,5.55E+04
,,nor293(M5),16866,25075,4.89E+04,23242,22388,26523
,,nor294(M6),2946,3995,10076,3680,4889,4814
leu__L_c,C13H32ONSi2,leu274(M0),7605037,10023810,8.90E+06,6.78E+06,5.72E+06,7514149
,,leu275(M1),1.96E+06,2623253,2.30E+06,1748952,1458352,1942790
,,leu276(M2),7.51E+05,1002619,8.92E+05,6.67E+05,561082,7.43E+05
,,leu277(M3),125441,1.67E+05,1.46E+05,111991,95744,1.22E+05
,,leu278(M4),2.00E+04,26996,2.24E+04,1.72E+04,1.43E+04,2.09E+04
,,leu279(M5),5.08E+03,6.26E+03,5.14E+03,3664,2.61E+03,5.46E+03
,,leu280(M6),951,1.86E+03,2.37E+03,1.37E+03,4.71E+02,1.13E+03
,,leu281(M7),0,0,0,0,0,0
,,leu282(M8),173,0,89,991,116,592
ile__L_c,C11H26NSi,ile200(M0),22287189,28420978,2.61E+07,2.06E+07,1.79E+07,22746626
,,ile201(M1),4255157,5568330,5.04E+06,3.90E+06,3.32E+06,4338790
,,ile202(M2),1.19E+06,1568886,1.42E+06,1.09E+06,9.28E+05,1.22E+06
,,ile203(M3),152494,196300,1.78E+05,1.38E+05,1.17E+05,1.54E+05
,,ile204(M4),1.60E+04,2.01E+04,18618,1.44E+04,10832,1.60E+04
,,ile205(M5),8.33E+03,8574,1.78E+04,7.77E+03,1.04E+04,8.54E+03
,,ile206(M6),2555,3555,3.11E+03,1082,1.57E+03,1.52E+03
,,ile207(M7),0,0,0,0,0,0
,,ile208(M8),0,0,0,0,0,0
ile__L_c,C13H32ONSi2,ile274(M0),7.02E+06,9.35E+06,8399543,6.57E+06,5.55E+06,7.20E+06
,,ile275(M1),1890312,2.51E+06,2.24E+06,1.77E+06,1469966,1.94E+06
,,ile276(M2),7.08E+05,9.50E+05,8.52E+05,6.62E+05,5.48E+05,7.33E+05
,,ile277(M3),1.28E+05,1.71E+05,1.53E+05,1.15E+05,9.64E+04,127436
,,ile278(M4),2.15E+04,2.75E+04,2.49E+04,1.92E+04,1.67E+04,2.09E+04
,,ile279(M5),4.67E+03,6.63E+03,8.64E+03,4.70E+03,5.15E+03,4.19E+03
,,ile280(M6),9.49E+02,5.34E+02,1.56E+03,6.95E+02,2.34E+02,8.12E+02
,,ile281(M7),0,0,0,0,0,0
,,ile282(M8),0,0,0,0,0,527
urea_c,C9H23O1N2Si2,urea231(M0),2.47E+06,3.99E+06,3381796,2.90E+05,2.71E+05,4.23E+05
,,urea232(M1),5.20E+05,8.38E+05,7.13E+05,6.28E+04,5.62E+04,9.16E+04
,,urea233(M2),223315,347724,300221,27102,24246,3.77E+04
,,urea234(M3),88598,9.18E+04,2.01E+05,20655,21297,27452
,,urea235(M4),1.51E+04,1.52E+04,3.42E+04,4652,4.17E+03,5365
,,urea236(M5),1915,2.39E+03,3.99E+03,1.21E+03,1022,1.24E+03
,,urea237(M6),1498,1.68E+03,2260,902,977,978
succ_m,C12H25O4Si2,suc289(M0),62271,1.04E+05,1.14E+05,3.11E+05,3.06E+05,4.97E+05
,,suc290(M1),24855,4.44E+04,46164,152901,154008,2.33E+05
,,suc291(M2),42276,138900,117939,254679,263162,3.84E+05
,,suc292(M3),19855,6.52E+04,54521,82360,83965,1.23E+05
,,suc293(M4),2.12E+05,9.25E+05,836131,668159,6.62E+05,1052995
,,suc294(M5),4.07E+04,1.82E+05,161769,1.30E+05,124183,198832
ura,C12H23N2O2Si2,ura283(M0),3.22E+05,2.51E+05,8.22E+05,97271,162363,109759
,,ura284(M1),1.20E+05,91181,2.86E+05,5.47E+04,7.15E+04,65847
,,ura285(M2),2.51E+05,2.49E+05,5.63E+05,4.87E+04,5.84E+04,67718
,,ura286(M3),4.44E+05,4.01E+05,9.11E+05,138351,1.37E+05,170005
,,ura287(M4),3.67E+05,508655,4.51E+05,3.35E+06,2.88E+06,3902990
,,ura288(M5),1.32E+05,1.73E+05,1.64E+05,1.22E+06,1.08E+06,1.44E+06
,,ura289(M6),1.64E+05,2.45E+05,1.58E+05,1.32E+06,1.19E+06,1572076
fum_m,C12H23O4Si2,fum287(M0),3.03E+05,4.45E+05,2.45E+05,3.52E+06,3.09E+06,4.22E+06
,,fum288(M1),1.12E+05,1.55E+05,8.92E+04,1.28E+06,1.16E+06,1.56E+06
,,fum289(M2),1.64E+05,246085,1.32E+05,1339372,1.22E+06,1.61E+06
,,fum290(M3),3.46E+05,5.34E+05,305848,1.09E+06,9.48E+05,1.27E+06
,,fum291(M4),7.60E+05,1.20E+06,606664,2.67E+06,2335945,3.27E+06
,,fum292(M5),166376,2.60E+05,129318,5.67E+05,490715,6.90E+05
thym_c,C13H25N2O2Si2,thy297(M0),2.27E+05,3.84E+05,234592,2.68E+05,183382,348511
,,thy298(M1),5.65E+04,98234,58321,6.69E+04,4.66E+04,8.78E+04
,,thy299(M2),28180,4.74E+04,43396,3.01E+04,2.35E+04,4.47E+04
,,thy300(M3),7.24E+03,1.01E+04,1.05E+04,9.19E+03,6740,1.17E+04
,,thy301(M4),3.36E+03,3.10E+03,3739,2.70E+03,2438,3016
,,thy302(M5),1.38E+02,5.83E+02,0,276,217,0
,,thy303(M6),0,0,0,0,0,0
,,thy304(M7),0,0,0,0,0,0
,,thy305(M8),0,0,0,7.25E+02,0,0
,,thy306(M9),0,0,0,0,0,59
,,thy307(M10),326,0,0,188,0,2.06E+01
ser__L_c,C14H34O1N1Si2,ser288(M0),6.56E+06,10661848,6848190,7.36E+06,5862128,7710085
,,ser289(M1),1.75E+06,2879969,1828235,1.98E+06,1572161,2.05E+06
,,ser290(M2),6.67E+05,1112861,710461,7.70E+05,6.13E+05,7.94E+05
,,ser291(M3),1.18E+05,192096,1.23E+05,1.81E+05,133078,163091
